id;start_date;end_date;room_id;theme_id;next_turn_id
1;2023-10-09T04:21:40;2023-10-08T20:29:23;1;1;1
2;2023-10-08T16:23:33;2023-10-09T06:30:20;2;2;2
3;2023-10-09T03:34:28;2023-10-09T05:21:00;3;3;3
4;2023-10-09T09:57:51;2023-10-08T19:25:12;4;4;4
5;2023-10-09T01:31:48;2023-10-08T21:28:53;5;5;5
6;2023-10-08T15:37:34;2023-10-08T17:35:12;6;6;6
7;2023-10-08T13:30:48;2023-10-08T21:36:27;7;7;7
8;2023-10-09T04:35:07;2023-10-08T18:10:19;8;8;8
9;2023-10-08T19:20:54;2023-10-09T02:59:32;9;9;9
10;2023-10-08T12:44:26;2023-10-08T23:43:52;10;10;10
