id;creation_date;content;game_id;author_id
1;2023-10-08T11:51:13;autrement effacer assez;1;1
2;2023-10-08T21:00:16;alors que bien que spécialiste;2;2
3;2023-10-09T06:20:48;rose foule;3;3
4;2023-10-08T14:28:25;volontiers dans la mesure où quelquefois;4;4
5;2023-10-08T13:01:41;bzzz totalement;5;5
6;2023-10-09T05:45:50;ronfler composer;6;6
7;2023-10-09T07:18:29;rectorat;7;7
8;2023-10-09T01:18:24;à la faveur de en bas de simplifier;8;8
9;2023-10-09T01:50:07;affecter même si;9;9
10;2023-10-08T16:43:07;en antique;10;10
